Time [s],Engine speed [RPM],BMEP [bar]
0,743.3921,0
0.1,743.8565711,0
0.2,744.3265066,0
0.3,744.8182996,0
0.4,745.3100925,0
0.5,745.8018855,0
0.6,746.2936784,0
0.7,746.7854714,0
0.8,747.2772644,0
0.9,747.7690573,3.92E-18
1,748.2608503,0.003530096
1.1,748.7315874,0.008614867
1.2,749.1181015,0.019918338
1.3,749.3930477,0.020766994
1.4,749.5006421,0.005933427
1.5,749.6082366,0
1.6,749.715831,0
1.7,749.8234255,0
1.8,749.9310199,0
1.9,750.0386144,0
2,750.1462088,0
2.1,750.2538033,0
2.2,750.3613978,0
2.3,750.4689922,0
2.4,750.6218906,0
2.5,750.8049915,0
2.6,751.0215395,0
2.7,751.2464492,0
2.8,751.4713589,0
2.9,751.6962686,0
3,751.9211783,0
3.1,752.146088,0
3.2,752.3709977,0
3.3,752.5959074,0
3.4,752.8208171,0
3.5,753.0457268,0
3.6,753.2706365,0
3.7,753.6186889,0
3.8,753.9691424,0
3.9,754.3292006,0
4,754.6892588,0
4.1,755.0493171,0
4.2,755.4093753,0
4.3,755.7694335,0
4.4,756.1294917,0.001128099
4.5,756.4895499,0.002538223
4.6,756.8496082,0.030928278
4.7,757.2144796,0.063532888
4.8,757.5986039,0.11299572
4.9,758.0174883,0.192895162
5,758.4885128,0.318449518
5.1,758.9595372,0.444003874
5.2,759.4305617,0.56955823
5.3,759.9015862,0.695112586
5.4,760.3726106,0.820666942
5.5,760.8436351,0.946221298
5.6,761.3146596,1.071775655
5.7,761.785684,1.197330011
5.8,762.2567085,1.322884367
5.9,762.727733,1.448438723
6,763.0057268,1.497404277
6.1,763.1550335,1.495310629
6.2,762.9962295,1.370967822
6.3,762.7603978,1.216062725
6.4,762.524566,1.061157628
6.5,762.2887343,0.906252531
6.6,762.0529026,0.751347434
6.7,761.8170709,0.596442337
6.8,761.5812392,0.44153724
6.9,761.3454074,0.286632143
7,761.1095757,0.131727046
7.1,760.873744,0.055970015
7.2,760.6379123,0
7.3,760.7816124,0
7.4,760.947529,0
7.5,761.2023112,0
7.6,761.4570934,0
7.7,761.7118756,0
7.8,761.9666578,0
7.9,762.22144,0
8,762.4762222,0
8.1,762.7310045,0
8.2,762.9857867,0
8.3,763.243808,0
8.4,763.514786,0
8.5,763.8859244,0.043759411
8.6,764.4073033,0.153157938
8.7,764.9286822,0.280331765
8.8,765.4500611,0.419355791
8.9,765.97144,0.558379817
9,766.492819,0.697403843
9.1,767.0141979,0.836427869
9.2,767.5355768,0.975451895
9.3,768.0569557,1.114475921
9.4,768.5783347,1.253499947
9.5,769.0997136,1.392523973
9.6,769.416643,1.45677704
9.7,769.5972727,1.471182802
9.8,769.4176944,1.353853848
9.9,769.1480641,1.203591215
10,768.8784338,1.053328582
10.1,768.6088035,0.903065948
10.2,768.3391732,0.752803315
10.3,768.0695429,0.602540682
10.4,767.7999126,0.452278049
10.5,767.5302823,0.302015416
10.6,767.260652,0.151752783
10.7,766.9910217,0.067611253
10.8,766.7213914,0
10.9,775.7765349,0
11,785.7075128,0
11.1,799.1418283,0
11.2,812.5761439,0
11.3,826.0104594,0
11.4,839.444775,0
11.5,852.8790905,0
11.6,866.3134061,0
11.7,879.7477216,0
11.8,893.1820372,0
11.9,906.6163527,0
12,920.0506682,0
12.1,920.2022072,0.116822903
12.2,900.4295812,0.40888016
12.3,871.1992613,0.883492901
12.4,835.6638122,1.479809297
12.5,800.128363,2.076125694
12.6,764.5929139,2.67244209
12.7,469.0785688,4.094490865
12.8,250.1462959,5.249568728
12.9,337.5423118,5.336762941
13,424.9383278,5.423957155
13.1,512.3343437,5.511151368
13.2,564.4731879,5.441959872
13.3,593.107251,5.268511235
13.4,614.0168181,5.060800043
13.5,632.9952611,4.844523212
13.6,651.9737042,4.628246381
13.7,670.9521472,4.411969551
13.8,689.9305903,4.19569272
13.9,708.9090334,3.979415889
14,727.8874764,3.763139058
14.1,681.0050046,4.133627813
14.2,590.2152563,4.895293624
14.3,573.2374123,5.143212476
14.4,574.7125444,5.262694589
